sample,strain rate,modulus,yield_stress
1,0.1,12473.23281055153,102.2071315
2,0.1,14127.755808264319,110.4497909
3,0.1,15015.678224775704,111.0162743
4,0.3,8052.047661515845,63.12941573
5,0.3,10262.540144198416,91.76926
6,0.3,13359.820628087085,98.07910496
7,0.6,14495.766652917191,107.0865921
8,0.6,13911.757793428673,110.8455618
9,0.6,13509.543011884116,100.2049342
10,0.9,12990.174138263348,97.40009933
11,0.9,16650.440345408933,114.0258838
12,0.9,11862.175969020585,106.4627498
13,1.2,16549.309190388933,115.2560128
14,1.2,16557.864440260808,97.94291936
15,1.2,15880.047194583722,111.0783734
16,1.5,14720.777365801432,88.33931971
17,1.5,17361.381833865598,116.4800057
18,1.5,14808.813106390535,117.0749761
